theme,url,img,lines,author
HARD WORK,/inspirational-quotes/4468-careers-like-rockets-dont-always-take-off-on,https://assets.passiton.com/quotes/quote_artwork/4468/medium/20250709_wednesday_quote.jpg,"Careers, like rockets, don't always take off on schedule. The key is to keep working the engines.",<Author:0x00007f6e506f7320>
HARD WORK,/inspirational-quotes/8378-doing-the-best-at-this-moment-puts-you-in-the,https://assets.passiton.com/quotes/quote_artwork/8378/medium/20250708_tuesday_quote.jpg,Doing the best at this moment puts you in the best place for the next moment.,<Author:0x00007f6e506f3680>
HARD WORK,/inspirational-quotes/6188-far-and-away-the-best-prize-that-life-offers-is,https://assets.passiton.com/quotes/quote_artwork/6188/medium/20250707_monday_quote.jpg,Far and away the best prize that life offers is the chance to work hard at work worth doing. ,<Author:0x00007f6e506f0340>
FREEDOM,/inspirational-quotes/8447-from-every-mountainside-let-freedom-ring,https://assets.passiton.com/quotes/quote_artwork/8447/medium/20250704_friday_quote.jpg,"From every mountainside, let freedom ring.",<Author:0x00007f6e5075bff0>
FREEDOM,/inspirational-quotes/8441-everyone-has-a-right-to-peaceful-coexistence,https://assets.passiton.com/quotes/quote_artwork/8441/medium/20250703_thursday_quote.jpg,"Everyone has a right to peaceful coexistence, the basic personal freedoms, the alleviation of suffering, and the opportunity to lead a productive life.",<Author:0x00007f6e50758210>
FREEDOM,/inspirational-quotes/8385-true-patriotism-springs-from-a-belief-in-the,https://assets.passiton.com/quotes/quote_artwork/8385/medium/20250702_wednesday_quote.jpg,"True patriotism springs from a belief in the dignity of the individual, freedom and equality not only for Americans but for all people on earth.",<Author:0x00007f6e507547f0>
FREEDOM,/inspirational-quotes/7776-may-we-think-of-freedom-not-as-the-right-to-do,https://assets.passiton.com/quotes/quote_artwork/7776/medium/20250701_tuesday_quote.jpg,"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.",<Author:0x00007f6e50750970>
FREEDOM,/inspirational-quotes/7319-freedom-is-not-the-absence-of-commitments-but,https://assets.passiton.com/quotes/quote_artwork/7319/medium/20250630_monday_quote.jpg,"Freedom is not the absence of commitments, but the ability to choose - and commit myself to - what is best for me.",<Author:0x00007f6e5076ce40>
CHANGE,/inspirational-quotes/6862-education-is-the-most-powerful-weapon-which-you,https://assets.passiton.com/quotes/quote_artwork/6862/medium/20250627_friday_quote.jpg,Education is the most powerful weapon which you can use to change the world.,<Author:0x00007f6e507696a0>
CHANGE,/inspirational-quotes/6427-when-we-are-no-longer-able-to-change-a,https://assets.passiton.com/quotes/quote_artwork/6427/medium/20250626_thursday_quote.jpg,"When we are no longer able to change a situation, we are challenged to change ourselves. ",<Author:0x00007f6e507658c0>
CHANGE,/inspirational-quotes/8404-a-bend-in-the-road-is-not-the-end-of-the-road,https://assets.passiton.com/quotes/quote_artwork/8404/medium/20250625_wednesday_quote.jpg,A bend in the road is not the end of the road unless you fail to make the turn.,<Author:0x00007f6e50761ae0>
CHANGE,/inspirational-quotes/6506-yesterday-i-was-clever-so-i-wanted-to-change,https://assets.passiton.com/quotes/quote_artwork/6506/medium/20250624_tuesday_quote.jpg,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",<Author:0x00007f6e5077cdb8>
CHANGE,/inspirational-quotes/8406-we-all-have-big-changes-in-our-lives-that-are,https://assets.passiton.com/quotes/quote_artwork/8406/medium/20250623_monday_quote.jpg,We all have big changes in our lives that are more or less a second chance.,<Author:0x00007f6e50777c78>
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20250620_friday_quote.jpg,Believe in yourself and go for it.,<Author:0x00007f6e50771eb8>
BELIEVE IN YOURSELF,/inspirational-quotes/7963-your-self-worth-is-determined-by-you-you-don-t,https://assets.passiton.com/quotes/quote_artwork/7963/medium/20250619_thursday_quote.jpg,Your self-worth is determined by you. You don’t have to depend on someone telling you who you are.,<Author:0x00007f6e5079c500>
BELIEVE IN YOURSELF,/inspirational-quotes/8271-magic-is-believing-in-yourself-if-you-can-do,https://assets.passiton.com/quotes/quote_artwork/8271/medium/20250618_wednesday_quote.jpg,"Magic is believing in yourself, if you can do that, you can make anything happen.",<Author:0x00007f6e50796c40>
BELIEVE IN YOURSELF,/inspirational-quotes/6966-it-is-our-privilege-and-our-adventure-to,https://assets.passiton.com/quotes/quote_artwork/6966/medium/20250617_tuesday_quote.jpg,It is our privilege and our adventure to discover our own special light.,<Author:0x00007f6e50792460>
BELIEVE IN YOURSELF,/inspirational-quotes/4915-you-are-braver-than-you-believe-smarter-than,https://assets.passiton.com/quotes/quote_artwork/4915/medium/20250616_monday_quote.jpg,"You are braver than you believe, smarter than you seem, and stronger than you think.",<Author:0x00007f6e507ae430>
JOY,/inspirational-quotes/8446-my-father-gave-me-the-greatest-gift-anyone,https://assets.passiton.com/quotes/quote_artwork/8446/medium/20250613_friday_quote_.jpg,My father gave me the greatest gift anyone could give another person: he believed in me.,<Author:0x00007f6e507a97f0>
JOY,/inspirational-quotes/8024-let-your-joy-be-in-your-journey-not-in-some,https://assets.passiton.com/quotes/quote_artwork/8024/medium/20250612_thursday_quote.jpg,Let your joy be in your journey—not in some distant goal.,<Author:0x00007f6e507a5010>
JOY,/inspirational-quotes/7330-comparison-is-the-thief-of-joy,https://assets.passiton.com/quotes/quote_artwork/7330/medium/20250611_wednesday_quote.jpg,Comparison is the thief of joy.,<Author:0x00007f6e507a0830>
JOY,/inspirational-quotes/7482-joy-is-a-decision-a-really-brave-one-about,https://assets.passiton.com/quotes/quote_artwork/7482/medium/20250610_tuesday_quote.jpg,"Joy is a decision, a really brave one, about how you are going to respond to life.",<Author:0x00007f6e5318b550>
JOY,/inspirational-quotes/8321-joy-blooms-where-minds-and-hearts-are-open,https://assets.passiton.com/quotes/quote_artwork/8321/medium/20250609_monday_quote_.jpg,Joy blooms where minds and hearts are open.,<Author:0x00007f6e53187810>
DISCOVERY,/inspirational-quotes/7352-the-real-voyage-of-discovery-consists-of-not-in,https://assets.passiton.com/quotes/quote_artwork/7352/medium/20250606_friday.jpg,The real voyage of discovery consists of not in seeking new landscapes but in having new eyes.,<Author:0x00007f6e53183990>
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/20250605_thursday.jpg,There are always new things to find out if you go looking for them.,<Author:0x00007f6e531be7e8>
DISCOVERY,/inspirational-quotes/8409-by-mutual-confidence-and-mutual-aid-great-deeds,https://assets.passiton.com/quotes/quote_artwork/8409/medium/20250604_wednesday.jpg,"By mutual confidence and mutual aid great deeds are done, and great discoveries made.",<Author:0x00007f6e531b99c8>
DISCOVERY,/inspirational-quotes/7381-discovery-is-seeing-what-everybody-else-has,https://assets.passiton.com/quotes/quote_artwork/7381/medium/20250603_tuesday.jpg,"Discovery is seeing what everybody else has seen, and thinking what nobody else has thought.",<Author:0x00007f6e531cff20>
DISCOVERY,/inspirational-quotes/6823-you-have-to-leave-the-city-of-your-comfort-and,https://assets.passiton.com/quotes/quote_artwork/6823/medium/20250602_monday.jpg,You have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself.,<Author:0x00007f6e531cae80>
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20250530_friday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,<Author:0x00007f6e531c5ca0>
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20250529_thursday_quote.jpg,Nature brings solace in all troubles.,<Author:0x00007f6e531c1240>
GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20250528_wednesday_quote.jpg,The wilderness holds answers to questions we have not yet learned to ask.,<Author:0x00007f6e531dd490>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20250527_tuesday_quote.jpg,An early morning walk is a blessing for the whole day.,<Author:0x00007f6e531d96b0>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20250526_monday_quote.jpg,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x00007f6e531d5bf0>
